plaza,L,B,passedCars
M7,3,4,473
M7,3,5,347
M7,3,6,6241
M7,3,7,23258
M7,3,8,23336
M7,3,9,23333
M7,3,10,23241
M7,3,11,23203
M7,3,12,23114
M7,3,13,23214
M7,3,14,23371
M7,3,15,23254
M7,3,16,23303
M7,4,5,44
M7,4,6,593
M7,4,7,906
M7,4,8,11938
M7,4,9,23693
M7,4,10,23749
M7,4,11,23491
M7,4,12,23778
M7,4,13,23500
M7,4,14,23492
M7,4,15,23606
M7,4,16,23575
M7,5,6,242
M7,5,7,693
M7,5,8,657
M7,5,9,938
M7,5,10,3767
M7,5,11,23661
M7,5,12,23623
M7,5,13,23817
M7,5,14,23695
M7,5,15,23811
M7,5,16,23885
M7,6,7,48
M7,6,8,1213
M7,6,9,975
M7,6,10,341
M7,6,11,786
M7,6,12,17571
M7,6,13,24091
M7,6,14,23781
M7,6,15,24000
M7,6,16,23635
M7,7,8,340
M7,7,9,241
M7,7,10,889
M7,7,11,1375
M7,7,12,1298
M7,7,13,581
M7,7,14,23949
M7,7,15,24068
M7,7,16,23993
M7,8,9,1030
M7,8,10,246
M7,8,11,2110
M7,8,12,571
M7,8,13,2748
M7,8,14,1355
M7,8,15,1215
M7,8,16,23661
