plaza,L,B,passedCars
M4,3,4,837
M4,3,5,691
M4,3,6,4778
M4,3,7,21086
M4,3,8,21074
M4,3,9,21052
M4,3,10,20945
M4,3,11,20858
M4,3,12,20833
M4,3,13,20884
M4,3,14,20844
M4,3,15,21028
M4,3,16,20955
M4,4,5,569
M4,4,6,90
M4,4,7,851
M4,4,8,3441
M4,4,9,21216
M4,4,10,20953
M4,4,11,21029
M4,4,12,21015
M4,4,13,21331
M4,4,14,21175
M4,4,15,21363
M4,4,16,21185
M4,5,6,1217
M4,5,7,1633
M4,5,8,622
M4,5,9,151
M4,5,10,8864
M4,5,11,21165
M4,5,12,21339
M4,5,13,21201
M4,5,14,21219
M4,5,15,21236
M4,5,16,21416
M4,6,7,1124
M4,6,8,1500
M4,6,9,683
M4,6,10,1773
M4,6,11,1026
M4,6,12,21327
M4,6,13,21367
M4,6,14,21292
M4,6,15,21452
M4,6,16,21429
M4,7,8,1422
M4,7,9,1109
M4,7,10,1185
M4,7,11,422
M4,7,12,1563
M4,7,13,725
M4,7,14,3464
M4,7,15,21306
M4,7,16,21618
M4,8,9,1198
M4,8,10,1301
M4,8,11,1111
M4,8,12,1536
M4,8,13,1195
M4,8,14,1849
M4,8,15,1101
M4,8,16,21482
