plaza,L,B,passedCars
M8,3,4,54
M8,3,5,539
M8,3,6,2185
M8,3,7,13222
M8,3,8,13465
M8,3,9,13302
M8,3,10,13357
M8,3,11,13431
M8,3,12,13261
M8,3,13,13353
M8,3,14,13219
M8,3,15,13392
M8,3,16,13312
M8,4,5,422
M8,4,6,523
M8,4,7,793
M8,4,8,13323
M8,4,9,13235
M8,4,10,13298
M8,4,11,13190
M8,4,12,13239
M8,4,13,13353
M8,4,14,13511
M8,4,15,13300
M8,4,16,13210
M8,5,6,478
M8,5,7,951
M8,5,8,490
M8,5,9,586
M8,5,10,13343
M8,5,11,13454
M8,5,12,13291
M8,5,13,13329
M8,5,14,13312
M8,5,15,13208
M8,5,16,13560
M8,6,7,177
M8,6,8,876
M8,6,9,1976
M8,6,10,1072
M8,6,11,1127
M8,6,12,13479
M8,6,13,13403
M8,6,14,13448
M8,6,15,13327
M8,6,16,13375
M8,7,8,1252
M8,7,9,1332
M8,7,10,1528
M8,7,11,1763
M8,7,12,1669
M8,7,13,924
M8,7,14,13605
M8,7,15,13521
M8,7,16,13473
M8,8,9,1472
M8,8,10,506
M8,8,11,1274
M8,8,12,283
M8,8,13,1529
M8,8,14,1298
M8,8,15,1879
M8,8,16,13422
