plaza,L,B,passedCars
M1,3,4,158
M1,3,5,151
M1,3,6,4760
M1,3,7,26528
M1,3,8,2523
M1,3,9,26357
M1,3,10,26441
M1,3,11,26601
M1,3,12,26737
M1,3,13,26430
M1,3,14,26416
M1,3,15,26496
M1,3,16,26717
M1,4,5,626
M1,4,6,301
M1,4,7,877
M1,4,8,3153
M1,4,9,27137
M1,4,10,3983
M1,4,11,26939
M1,4,12,26930
M1,4,13,26891
M1,4,14,27015
M1,4,15,26876
M1,4,16,26998
M1,5,6,1347
M1,5,7,1391
M1,5,8,73
M1,5,9,1001
M1,5,10,3198
M1,5,11,27247
M1,5,12,27238
M1,5,13,27229
M1,5,14,27287
M1,5,15,27277
M1,5,16,27342
M1,6,7,351
M1,6,8,761
M1,6,9,1152
M1,6,10,481
M1,6,11,711
M1,6,12,27036
M1,6,13,27318
M1,6,14,27392
M1,6,15,27025
M1,6,16,27193
M1,7,8,29
M1,7,9,86
M1,7,10,998
M1,7,11,554
M1,7,12,1111
M1,7,13,792
M1,7,14,3341
M1,7,15,27400
M1,7,16,27248
M1,8,9,928
M1,8,10,2210
M1,8,11,1638
M1,8,12,1420
M1,8,13,1072
M1,8,14,2132
M1,8,15,2697
M1,8,16,27501
