plaza,L,B,passedCars
M9,3,4,307
M9,3,5,348
M9,3,6,9095
M9,3,7,9028
M9,3,8,8980
M9,3,9,9050
M9,3,10,8962
M9,3,11,9071
M9,3,12,9032
M9,3,13,9108
M9,3,14,9108
M9,3,15,8998
M9,3,16,9113
M9,4,5,64
M9,4,6,379
M9,4,7,641
M9,4,8,4337
M9,4,9,9056
M9,4,10,9184
M9,4,11,9044
M9,4,12,9196
M9,4,13,8956
M9,4,14,9069
M9,4,15,9158
M9,4,16,9382
M9,5,6,949
M9,5,7,794
M9,5,8,743
M9,5,9,838
M9,5,10,9102
M9,5,11,9127
M9,5,12,9033
M9,5,13,9022
M9,5,14,9262
M9,5,15,9145
M9,5,16,9143
M9,6,7,769
M9,6,8,580
M9,6,9,1217
M9,6,10,591
M9,6,11,424
M9,6,12,9069
M9,6,13,9013
M9,6,14,9113
M9,6,15,9153
M9,6,16,9203
M9,7,8,288
M9,7,9,2818
M9,7,10,1811
M9,7,11,1715
M9,7,12,1020
M9,7,13,850
M9,7,14,9084
M9,7,15,9072
M9,7,16,9049
M9,8,9,2801
M9,8,10,748
M9,8,11,785
M9,8,12,2572
M9,8,13,1848
M9,8,14,427
M9,8,15,1014
M9,8,16,9105
